,domain,phylum,class,order,family,genus,species
ASV_26,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Lewinella,NA
ASV_27,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,NA,NA
ASV_28,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
ASV_29,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Polaribacter,NA
ASV_30,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pacificibacter,NA
ASV_31,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Halioxenophilus,NA
ASV_32,NA,NA,NA,NA,NA,NA,NA
ASV_33,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,NA
ASV_34,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,NS11-12 marine group,NA,NA
ASV_35,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Porticoccaceae,Porticoccus,NA
ASV_36,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Porticoccaceae,SAR92 clade,NA
ASV_37,Bacteria,Proteobacteria,Alphaproteobacteria,NRL2,NA,NA,NA
ASV_38,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Oceanospirillum,NA
ASV_39,Bacteria,Desulfobacterota,Desulfuromonadia,PB19,NA,NA,NA
ASV_40,NA,NA,NA,NA,NA,NA,NA
ASV_41,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,Vicingus,NA
ASV_42,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oleiphilaceae,Oleiphilus,NA
ASV_43,NA,NA,NA,NA,NA,NA,NA
ASV_44,Bacteria,NA,NA,NA,NA,NA,NA
ASV_45,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,OM43 clade,NA
ASV_46,Bacteria,NA,NA,NA,NA,NA,NA
ASV_47,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS3a marine group,NA
ASV_48,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Puniceicoccaceae,Pelagicoccus,NA
ASV_49,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
ASV_50,NA,NA,NA,NA,NA,NA,NA
ASV_51,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Porticoccaceae,C1-B045,NA
ASV_52,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,Vicingus,NA
ASV_53,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,NA
ASV_54,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Ulvibacter,NA
ASV_55,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Litorimonas,NA
ASV_56,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade III,NA,NA
ASV_57,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
ASV_58,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
ASV_59,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,Vicingus,NA
ASV_60,Bacteria,Proteobacteria,Alphaproteobacteria,Kordiimonadales,Kordiimonadaceae,Kordiimonas,NA
ASV_61,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pacificibacter,NA
ASV_62,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,NA
ASV_63,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5 marine group,NA
ASV_64,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,NA
ASV_65,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Pseudohongiellaceae,Pseudohongiella,NA
ASV_66,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ia,NA
ASV_67,Bacteria,Verrucomicrobiota,Lentisphaeria,Lentisphaerales,Lentisphaeraceae,Lentisphaera,NA
ASV_68,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
ASV_69,NA,NA,NA,NA,NA,NA,NA
ASV_70,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,NA
ASV_71,NA,NA,NA,NA,NA,NA,NA
ASV_72,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,NA,NA
ASV_73,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS3a marine group,NA
ASV_74,Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,NA,NA
ASV_75,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,NA
ASV_76,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS3a marine group,NA
ASV_77,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,NA
ASV_78,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aurantivirga,NA
ASV_79,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
ASV_80,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Porticoccaceae,Porticoccus,NA
ASV_81,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
ASV_82,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
ASV_83,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Candidatus Endobugula,NA
ASV_84,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
ASV_85,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
ASV_86,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
ASV_87,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus Nitrosopumilus,NA
ASV_88,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
ASV_89,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Ketobacter,NA
ASV_90,NA,NA,NA,NA,NA,NA,NA
ASV_91,Bacteria,Acidobacteriota,NA,NA,NA,NA,NA
ASV_92,NA,NA,NA,NA,NA,NA,NA
ASV_93,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Porticoccaceae,C1-B045,NA
ASV_94,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9 marine group,NA,NA
ASV_95,NA,NA,NA,NA,NA,NA,NA
ASV_96,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Pseudohongiellaceae,Pseudohongiella,NA
ASV_97,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116 clade,Candidatus Puniceispirillum,NA
ASV_98,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,Sinobacterium,NA
ASV_99,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,IS-44,NA
ASV_100,Bacteria,NA,NA,NA,NA,NA,NA
ASV_101,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,OM43 clade,NA
ASV_102,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aurantivirga,NA
ASV_103,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,NA
ASV_104,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Polaribacter,NA
ASV_105,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hirschia,NA
ASV_106,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,NA,NA
ASV_107,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ia,NA
ASV_108,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aurantivirga,NA
ASV_109,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,NS11-12 marine group,NA,NA
ASV_110,NA,NA,NA,NA,NA,NA,NA
ASV_111,NA,NA,NA,NA,NA,NA,NA
ASV_112,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
ASV_113,NA,NA,NA,NA,NA,NA,NA
ASV_114,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
ASV_115,NA,NA,NA,NA,NA,NA,NA
ASV_116,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,RS62 marine group,NA
ASV_117,NA,NA,NA,NA,NA,NA,NA
ASV_118,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus Nitrosopumilus,NA
ASV_119,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Polaribacter,NA
ASV_120,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,NA,NA
ASV_121,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Polaribacter,NA
ASV_122,Bacteria,Verrucomicrobiota,Lentisphaeria,Lentisphaerales,Lentisphaeraceae,Lentisphaera,NA
ASV_123,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,NS11-12 marine group,NA,NA
ASV_124,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Cycloclasticaceae,Cycloclasticus,NA
ASV_125,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,NA
ASV_126,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,NA,NA
ASV_127,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,NA
ASV_128,Bacteria,NA,NA,NA,NA,NA,NA
ASV_129,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Winogradskyella,NA
ASV_130,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Polaribacter,NA
ASV_131,NA,NA,NA,NA,NA,NA,NA
ASV_132,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,NA
ASV_133,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus Nitrosopumilus,NA
ASV_134,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,Planctomicrobium,NA
ASV_135,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,NA
ASV_136,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,NA
ASV_137,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,OM43 clade,NA
ASV_138,NA,NA,NA,NA,NA,NA,NA
ASV_139,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ia,NA
ASV_140,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,OM43 clade,NA
ASV_141,Bacteria,Verrucomicrobiota,Lentisphaeria,Lentisphaerales,Lentisphaeraceae,Lentisphaera,NA
ASV_142,Bacteria,NA,NA,NA,NA,NA,NA
ASV_143,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,Halioglobus,NA
ASV_144,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oleiphilaceae,Oleiphilus,NA
ASV_145,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,NA
ASV_146,NA,NA,NA,NA,NA,NA,NA
ASV_147,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pacificibacter,NA
ASV_148,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavicella,NA
ASV_149,Bacteria,Bacteroidota,Bacteroidia,NA,NA,NA,NA
ASV_150,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ia,NA
ASV_151,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,NA
ASV_152,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA,NA
ASV_153,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Candidatus Actinomarina,NA
ASV_154,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Polaribacter,NA
ASV_155,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
ASV_156,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,Peredibacter,NA
ASV_157,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,NA,NA
ASV_158,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Polaribacter,NA
ASV_159,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,NA,NA,NA
ASV_160,Bacteria,NA,NA,NA,NA,NA,NA
ASV_161,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
ASV_162,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,NA,NA
ASV_163,Bacteria,NA,NA,NA,NA,NA,NA
ASV_164,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
ASV_165,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Nitrincolaceae,Amphritea,NA
ASV_166,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Polaribacter,NA
ASV_167,Bacteria,Bacteroidota,Bacteroidia,NA,NA,NA,NA
ASV_168,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Aestuariicella,NA
ASV_169,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,NA,NA
ASV_170,Bacteria,NA,NA,NA,NA,NA,NA
ASV_171,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
ASV_172,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,NS11-12 marine group,NA,NA
ASV_173,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
ASV_174,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Porticoccaceae,NA,NA
ASV_175,NA,NA,NA,NA,NA,NA,NA
ASV_176,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,NS11-12 marine group,NA,NA
ASV_177,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
ASV_178,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
ASV_179,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Roseibacillus,NA
ASV_180,NA,NA,NA,NA,NA,NA,NA
ASV_181,Bacteria,Proteobacteria,Alphaproteobacteria,NRL2,NA,NA,NA
ASV_182,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9 marine group,NA,NA
ASV_183,Bacteria,Bacteroidota,Bacteroidia,NA,NA,NA,NA
ASV_184,Bacteria,Proteobacteria,Alphaproteobacteria,Kordiimonadales,NA,NA,NA
ASV_185,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS3a marine group,NA
ASV_186,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,NA
ASV_187,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86 clade,NA,NA,NA
ASV_188,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oleiphilaceae,Oleiphilus,NA
ASV_189,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Porticoccaceae,SAR92 clade,NA
ASV_190,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
ASV_191,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,NA
ASV_192,Bacteria,NA,NA,NA,NA,NA,NA
ASV_193,NA,NA,NA,NA,NA,NA,NA
ASV_194,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Polaribacter,NA
ASV_195,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,NA
ASV_196,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Limnobacter,NA
ASV_197,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,Vicingus,NA
ASV_198,NA,NA,NA,NA,NA,NA,NA
ASV_199,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,DEV007,NA,NA
ASV_200,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,NA
ASV_201,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Candidatus Megaira,NA
ASV_202,NA,NA,NA,NA,NA,NA,NA
ASV_203,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Sedimentitalea,NA
ASV_204,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,NA,NA
ASV_205,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
ASV_206,NA,NA,NA,NA,NA,NA,NA
ASV_207,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,NA
ASV_208,NA,NA,NA,NA,NA,NA,NA
ASV_209,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Nitrincolaceae,Profundimonas,NA
ASV_210,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus Nitrosopumilus,NA
ASV_211,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Fabibacter,NA
ASV_212,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,NA
ASV_213,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,Vicingus,NA
ASV_214,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Polaribacter,NA
ASV_215,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,NA
ASV_216,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,NS11-12 marine group,NA,NA
ASV_217,Bacteria,NA,NA,NA,NA,NA,NA
ASV_218,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,NA
ASV_219,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,NA
ASV_220,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Lewinella,NA
ASV_221,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5 marine group,NA
ASV_222,Bacteria,Planctomycetota,BD7-11,NA,NA,NA,NA
ASV_223,Bacteria,Proteobacteria,Gammaproteobacteria,KI89A clade,NA,NA,NA
ASV_224,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,NA,NA
ASV_225,NA,NA,NA,NA,NA,NA,NA
ASV_226,Bacteria,NA,NA,NA,NA,NA,NA
ASV_227,NA,NA,NA,NA,NA,NA,NA
ASV_228,NA,NA,NA,NA,NA,NA,NA
ASV_229,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
ASV_230,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ia,NA
ASV_231,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
ASV_232,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,NA
ASV_233,Bacteria,NA,NA,NA,NA,NA,NA
ASV_234,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Puniceicoccaceae,Pelagicoccus,NA
ASV_235,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
ASV_236,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,NA,NA,NA
ASV_237,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
ASV_238,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingorhabdus,NA
ASV_239,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Porticoccaceae,SAR92 clade,NA
ASV_240,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Paraglaciecola,NA
ASV_241,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aurantivirga,NA
ASV_242,NA,NA,NA,NA,NA,NA,NA
ASV_243,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ia,NA
ASV_244,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Reichenbachiella,NA
ASV_245,NA,NA,NA,NA,NA,NA,NA
ASV_246,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Nitrincolaceae,Motiliproteus,NA
ASV_247,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,AB1,NA,NA
ASV_248,NA,NA,NA,NA,NA,NA,NA
ASV_249,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
ASV_250,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Aestuariicella,NA
ASV_251,NA,NA,NA,NA,NA,NA,NA
ASV_252,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,NA,NA
ASV_253,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ia,NA
ASV_254,NA,NA,NA,NA,NA,NA,NA
ASV_255,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
ASV_256,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,NA,NA
ASV_257,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
ASV_258,Bacteria,NA,NA,NA,NA,NA,NA
ASV_259,NA,NA,NA,NA,NA,NA,NA
ASV_260,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Pseudofulvibacter,NA
ASV_261,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
ASV_262,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,NA,NA
ASV_263,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,NA,NA
ASV_264,NA,NA,NA,NA,NA,NA,NA
ASV_265,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,OM43 clade,NA
ASV_266,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,NA,NA
ASV_267,NA,NA,NA,NA,NA,NA,NA
ASV_268,NA,NA,NA,NA,NA,NA,NA
ASV_269,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
ASV_270,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Reichenbachiella,NA
ASV_271,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Oceanospirillum,NA
ASV_272,Bacteria,Actinobacteriota,Actinobacteria,NA,NA,NA,NA
ASV_273,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,NA,NA
